Function Name,Device,Subdevice,OBC,RS232 Command
Power Off,1,1,0,k a 0 00
Power On,1,1,1,k a 0 01
Power Toggle,1,1,2,m c 0 08
Aspect Ratio 4:3,1,1,3,k c 0 01
Aspect Ratio16:9,1,1,4,k c 0 02
Aspect Ratio Just Scan,1,1,5,k c 0 09
Mute On,1,1,6,k e 0 00
Mute Off,1,1,7,k e 0 01
Mute Toggle,1,1,8,m c 0 09
Volume Up,1,1,9,m c 0 02
Volume Down,1,1,10,m c 0 03
ISM Orbiter,1,1,11,j p 0 02
ISM Colour Wash,1,1,12,j p 0 20
Input DTV,1,1,13,x b 0 00
Input HDMI1,1,1,14,x b 0 90
Input HDMI2,1,1,15,x b 0 91
Input HDMI3,1,1,16,x b 0 92
Channel +,1,1,17,m c 0 00
Channel -,1,1,18,m c 0 01
RED,1,1,19,m c 0 72
GREEN,1,1,20,m c 0 71
YELLOW,1,1,21,m c 0 63
BLUE,1,1,22,m c 0 61
Arrow Up,1,1,23,m c 0 40
Arrow Down,1,1,24,m c 0 41
Arrow Left,1,1,25,m c 0 07
Arrow Right,1,1,26,m c 0 06
Quick Menu,1,1,27,m c 0 45
Info,1,1,28,m c 0 AA
Guide,1,1,29,m c 0 AB
TV/RADIO,1,1,30,m c 0 F0
Input Cicle,1,1,31,m c 0 0B
Number 0,1,1,32,m c 0 10
Number 1,1,1,33,m c 0 11
Number 2,1,1,34,m c 0 12
Number 3,1,1,35,m c 0 13
Number 4,1,1,36,m c 0 14
Number 5,1,1,37,m c 0 15
Number 6,1,1,38,m c 0 16
Number 7,1,1,39,m c 0 17
Number 8,1,1,40,m c 0 18
Number 9,1,1,41,m c 0 19
Menu,1,1,42,m c 0 43
OK,1,1,43,m c 0 44
Return / Exit,1,1,44,m c 0 28
AV Mode,1,1,45,m c 0 30
FAV(MARK),1,1,46,m c 0 1E
List,1,1,47,m c 0 53
Q.View,1,1,48,m c 0 1A
Text,1,1,49,m c 0 20
T.Opt,1,1,50,m c 0 21
Subtitle,1,1,51,m c 0 39
Simplink,1,1,52,m c 0 7E
Power Saving,1,1,53,m c 0 95
Freeze,1,1,54,m c 0 65
Ratio,1,1,55,m c 0 79
